Test set1 (ground truth), 0.000000, 0.575342, 0.109589, 0.589041, 0.000000, 0.602740, 4, 2, 1, 3, 5,
Test set1 (all):, 0.081480, 0.460897, 0.444087, 0.408896, 0.499767, 0.588807, 3, 2, 1, 4, 5,
Test set1 (selected):, 0.080395, 0.511197, 0.531668, 0.726003, 0.416317, 0.436521, 4, 5, 1, 2, 3,
Test set2 (ground truth), 0.000000, 0.671233, 0.410959, 0.219178, 0.863014, 0.479452, 3, 2, 5, 1, 4,
Test set2 (all):, 0.074383, 0.559124, 0.290379, 0.451044, 0.359405, 0.286005, 5, 2, 4, 3, 1,
Test set2 (selected):, 0.044363, 0.404213, 0.401849, 0.425657, 0.540724, 0.416786, 2, 1, 5, 3, 4,
Test set3 (ground truth), 0.000000, 0.547945, 0.602740, 0.452055, 0.342466, 0.493151, 4, 3, 5, 1, 2,
Test set3 (all):, 0.010686, 0.449581, 0.441831, 0.483460, 0.465993, 0.452933, 2, 1, 5, 4, 3,
Test set3 (selected):, 0.016318, 0.519734, 0.388215, 0.583069, 0.423702, 0.388215, 2, 5, 4, 1, 3,
Test set4 (ground truth), 0.000000, 0.465753, 0.301370, 0.342466, 0.493151, 0.589041, 2, 3, 1, 4, 5,
Test set4 (all):, 0.013853, 0.450067, 0.485192, 0.468379, 0.477300, 0.450754, 1, 5, 3, 4, 2,
Test set4 (selected):, 0.008178, 0.389029, 0.429406, 0.410191, 0.389591, 0.531615, 1, 4, 3, 2, 5,
Test set5 (ground truth), 0.000000, 0.465753, 0.452055, 0.369863, 0.164384, 0.342466, 4, 5, 3, 2, 1,
Test set5 (all):, 0.041141, 0.326413, 0.457540, 0.653489, 0.460038, 0.478127, 1, 2, 4, 5, 3,
Test set5 (selected):, 0.026583, 0.414291, 0.410920, 0.620088, 0.415147, 0.397954, 5, 2, 1, 4, 3,
Test set6 (ground truth), 0.000000, 0.671233, 0.821918, 0.150685, 0.890411, 0.589041, 3, 5, 1, 2, 4,
Test set6 (all):, 0.063927, 0.502935, 0.523634, 0.472093, 0.603904, 0.458849, 5, 3, 1, 2, 4,
Test set6 (selected):, 0.034162, 0.782198, 0.595615, 0.407032, 0.687015, 0.574833, 3, 5, 2, 4, 1,
Test set7 (ground truth), 0.000000, 0.150685, 0.671233, 0.863014, 0.589041, 0.821918, 1, 4, 2, 5, 3,
Test set7 (all):, 0.093299, 0.519376, 0.570548, 0.345352, 0.378708, 0.731296, 3, 4, 1, 2, 5,
Test set7 (selected):, 0.049104, 0.413763, 0.416893, 0.575337, 0.688376, 0.684094, 1, 2, 3, 5, 4,
Test set8 (ground truth), 0.000000, 0.890411, 0.164384, 0.821918, 0.904110, 0.794521, 2, 5, 3, 1, 4,
Test set8 (all):, 0.089994, 0.583932, 0.443143, 0.611665, 0.483923, 0.554585, 2, 4, 5, 1, 3,
Test set8 (selected):, 0.054272, 0.574384, 0.419449, 0.681375, 0.611871, 0.830171, 2, 1, 4, 3, 5,
Test set9 (ground truth), 0.000000, 0.547945, 0.465753, 0.452055, 0.068493, 0.589041, 4, 3, 2, 1, 5,
Test set9 (all):, 0.042326, 0.332959, 0.349251, 0.475535, 0.421291, 0.425266, 1, 2, 4, 5, 3,
Test set9 (selected):, 0.031238, 0.428223, 0.408113, 0.396232, 0.413389, 0.460723, 3, 2, 4, 1, 5,
Test set10 (ground truth), 0.000000, 0.821918, 0.520548, 0.972603, 0.575342, 0.589041, 2, 4, 5, 1, 3,
Test set10 (all):, 0.056253, 0.504415, 0.442765, 0.605618, 0.445735, 0.437620, 5, 2, 4, 1, 3,
Test set10 (selected):, 0.069070, 0.460461, 0.347111, 0.558151, 0.478328, 0.647670, 2, 1, 4, 3, 5,
Test set11 (ground truth), 0.000000, 0.671233, 0.972603, 0.109589, 0.493151, 0.602740, 3, 4, 5, 1, 2,
Test set11 (all):, 0.056491, 0.505313, 0.628093, 0.466229, 0.475196, 0.509328, 3, 4, 1, 5, 2,
Test set11 (selected):, 0.049272, 0.743692, 0.712530, 0.475817, 0.399912, 0.427656, 4, 5, 3, 2, 1,
Test set12 (ground truth), 0.000000, 0.424658, 0.410959, 0.493151, 0.479452, 0.000000, 5, 2, 1, 4, 3,
Test set12 (all):, 0.060649, 0.343626, 0.318070, 0.449431, 0.292020, 0.501005, 4, 2, 1, 3, 5,
Test set12 (selected):, 0.035328, 0.468954, 0.401289, 0.408943, 0.430230, 0.406290, 2, 5, 3, 4, 1,
Test set13 (ground truth), 0.000000, 1.000000, 0.575342, 0.410959, 0.794521, 0.000000, 5, 3, 2, 4, 1,
Test set13 (all):, 0.084274, 0.626967, 0.465096, 0.451818, 0.584846, 0.473739, 3, 2, 5, 4, 1,
