Test set1 (ground truth), 0.000000, 0.843478, 0.217391, 0.530435, 0.304348, 0.382609, 2, 4, 5, 3, 1,
Test set1 (length+curvature):, 0.053116, 0.508702, 0.516488, 0.517742, 0.517629, 0.518249, 1, 2, 4, 3, 5,
Test set1 (selected):, 0.055290, 0.733698, 0.674757, 0.603119, 0.444383, 0.556742, 4, 5, 3, 2, 1,
Test set2 (ground truth), 0.000000, 0.843478, 0.286957, 0.086957, 0.043478, 0.695652, 4, 3, 2, 5, 1,
Test set2 (length+curvature):, 0.112456, 0.501631, 0.490918, 0.474708, 0.500001, 0.483393, 3, 5, 2, 4, 1,
Test set2 (selected):, 0.069336, 0.630592, 0.646539, 0.356745, 0.229421, 0.441287, 4, 3, 5, 1, 2,
Test set3 (ground truth), 0.000000, 0.878261, 1.000000, 0.295652, 0.521739, 0.869565, 3, 4, 5, 1, 2,
Test set3 (length+curvature):, 0.117753, 0.499051, 0.499256, 0.499380, 0.498953, 0.479440, 5, 4, 1, 2, 3,
Test set3 (selected):, 0.021255, 0.790321, 0.739691, 0.465399, 0.566085, 0.869100, 3, 4, 2, 1, 5,
Test set4 (ground truth), 0.000000, 0.843478, 0.878261, 0.947826, 0.443478, 0.382609, 5, 4, 1, 2, 3,
Test set4 (length+curvature):, 0.098363, 0.488508, 0.498690, 0.494883, 0.498883, 0.498841, 1, 3, 2, 5, 4,
Test set4 (selected):, 0.021989, 0.806122, 0.767599, 0.760142, 0.578179, 0.589817, 4, 5, 3, 2, 1,
Test set5 (ground truth), 0.000000, 0.573913, 0.434783, 0.000000, 0.304348, 0.304348, 3, 4, 5, 2, 1,
Test set5 (length+curvature):, 0.081407, 0.552230, 0.513129, 0.568182, 0.526890, 0.471884, 5, 2, 4, 1, 3,
Test set5 (selected):, 0.049158, 0.727464, 0.446873, 0.376791, 0.453002, 0.545172, 3, 2, 4, 5, 1,
Test set1 (ground truth), 0.000000, 0.843478, 0.217391, 0.530435, 0.304348, 0.382609, 2, 4, 5, 3, 1,
Test set1 (all):, 0.133145, 0.357051, 0.653838, 0.051307, 0.229538, 0.441501, 3, 4, 1, 5, 2,
Test set1 (selected):, 0.076199, 0.891017, 0.804706, 0.588290, 0.456700, 0.467682, 4, 5, 3, 2, 1,
Test set2 (ground truth), 0.000000, 0.843478, 0.286957, 0.086957, 0.043478, 0.695652, 4, 3, 2, 5, 1,
Test set2 (all):, 0.174019, 0.422408, 0.638768, 0.381666, 0.661618, 0.379304, 5, 3, 1, 2, 4,
Test set2 (selected):, 0.065048, 0.674347, 0.394233, 0.470033, 0.339301, 0.470107, 4, 2, 3, 5, 1,
Test set3 (ground truth), 0.000000, 0.878261, 1.000000, 0.295652, 0.521739, 0.869565, 3, 4, 5, 1, 2,
Test set3 (all):, 0.149676, 0.490485, 0.502258, 0.673445, 0.401743, 0.430091, 4, 5, 1, 2, 3,
Test set3 (selected):, 0.108764, 0.560059, 0.777422, 0.379800, 0.418214, 0.257004, 5, 3, 4, 1, 2,
Test set4 (ground truth), 0.000000, 0.843478, 0.878261, 0.947826, 0.443478, 0.382609, 5, 4, 1, 2, 3,
Test set4 (all):, 0.113829, 0.397802, 0.476620, 0.493735, 0.433600, 0.436532, 1, 4, 5, 2, 3,
Test set4 (selected):, 0.153048, 0.666191, 0.451392, 0.274250, 0.143998, 0.473171, 4, 3, 2, 5, 1,
Test set5 (ground truth), 0.000000, 0.573913, 0.434783, 0.000000, 0.304348, 0.304348, 3, 4, 5, 2, 1,
Test set5 (all):, 0.090394, 0.561018, 0.572315, 0.544836, 0.524036, 0.600625, 4, 3, 1, 2, 5,
Test set5 (selected):, 0.059489, 0.434677, 0.448614, 0.371956, 0.625251, 0.113197, 5, 3, 1, 2, 4,
